ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-56168,19.0,COc1cc(ccc1C(=O)O)Cl,COc1cccc(Cl)c1
EN300-04309,92.0,CC(=O)Oc1ccc(cc1)CC(C(=O)O)N2C(=O)c3ccccc3C2=O,CC(=O)Oc1ccc(CCN2C(=O)c3ccccc3C2=O)cc1
EN300-06320,92.0,c1cc(ccc1/C=C/2\C(=O)N(C(=S)N2)c3ccc(cc3)F)C(=O)O,O=C1/C(=C\c2ccccc2)NC(=S)N1c1ccc(F)cc1
EN300-04990,116.0,c1cc(cc(c1)S(=O)(=O)N2CCOCC2)c3nnc(n3c4ccc(cc4)F)SCC(=O)O,CSc1nnc(-c2cccc(S(=O)(=O)N3CCOCC3)c2)n1-c1ccc(F)cc1
EN300-06505,152.0,c1cc(ccc1c2nnc(o2)SCC(=O)O)F,CSc1nnc(-c2ccc(F)cc2)o1
EN300-04315,92.0,CC(C(C(=O)O)NS(=O)(=O)c1ccc(cc1)Cl)O,C[C@H](O)CNS(=O)(=O)c1ccc(Cl)cc1
EN300-04319,92.0,CCOc1ccc(cc1)NS(=O)(=O)c2ccc3c(c2)c(cc(n3)O)C(=O)O,CCOc1ccc(NS(=O)(=O)c2ccc3nc(O)ccc3c2)cc1
EN300-04321,116.0,Cc1cccc(c1)NS(=O)(=O)c2ccc3c(c2)c(cc(n3)O)C(=O)O,Cc1cccc(NS(=O)(=O)c2ccc3nc(O)ccc3c2)c1
EN300-06488,92.0,Cc1ccc2c(cc(c(c2n1)OCC(=O)O)Cl)Cl,COc1c(Cl)cc(Cl)c2ccc(C)nc12
EN300-07005,92.0,c1ccc(cc1)CN(c2ccc(cc2)F)S(=O)(=O)c3cc(ccc3Cl)C(=O)O,O=S(=O)(c1ccccc1Cl)N(Cc1ccccc1)c1ccc(F)cc1
EN300-34142,52.0,c1cc(c(cc1OCC(=O)O)Cl)Cl,COc1ccc(Cl)c(Cl)c1
EN300-06297,85.0,CCCCOc1ccc(cc1OCC)C(=O)O,CCCCOc1ccccc1OCC
EN300-18554,49.0,c1cc(ccc1C(=O)O)NC(=O)C2CC2,O=C(Nc1ccccc1)C1CC1
EN300-14988,41.0,Cc1ccc(cc1C(=O)O)S(=O)(=O)N,Cc1ccc(S(N)(=O)=O)cc1
EN300-13028,20.0,c1cc(ccc1c2cc([nH]n2)C(=O)O)Br,Brc1ccc(-c2cc[nH]n2)cc1
EN300-12215,142.0,Cc1csc(n1)SCc2c3ccccc3oc2C(=O)O,Cc1csc(SCc2coc3ccccc23)n1
EN300-13004,19.0,CC(C)(C)c1ccc(cc1)CCC(=O)O,CCc1ccc(C(C)(C)C)cc1
EN300-12879,110.0,c1cc(c(cc1S(=O)(=O)N)C(=O)O)N2CCOCC2,NS(=O)(=O)c1ccc(N2CCOCC2)cc1
EN300-13014,79.0,c1cc(ccc1C2SCCCS2)C(=O)O,c1ccc(C2SCCCS2)cc1
EN300-14132,173.0,c1cc(c(cc1C(=O)O)N2CCCC2=O)Cl,O=C1CCCN1c1ccccc1Cl
EN300-00302,79.0,CC1Cc2ccccc2N1S(=O)(=O)c3cccc(c3)C(=O)O,C[C@H]1Cc2ccccc2N1S(=O)(=O)c1ccccc1
EN300-12922,110.0,c1cc2c(cc1SCC(=O)O)CCC2,CSc1ccc2c(c1)CCC2
EN300-11640,142.0,Cc1ccc(cc1)C(CC(=O)O)NS(=O)(=O)c2ccc(cc2)NC(=O)C,CC(=O)Nc1ccc(S(=O)(=O)N[C@@H](C)c2ccc(C)cc2)cc1
EN300-14731,27.0,c1cc(ccc1c2nnco2)C(=O)O,c1ccc(-c2nnco2)cc1
EN300-13291,142.0,Cc1ccc(cc1)S(=O)(=O)NCC(=O)NCC(=O)O,CNC(=O)CNS(=O)(=O)c1ccc(C)cc1
EN300-10770,125.0,c1ccc(c(c1)[N+](=O)[O-])SCC(=O)O,CSc1ccccc1[N+](=O)[O-]
EN300-12240,288.0,c1ccc(cc1)C2Cc3cc(ccc3C(=O)O2)C(=O)O,O=C1O[C@H](c2ccccc2)Cc2ccccc21
EN300-12369,178.0,c1ccc2c(c1)nc(n2CC(=O)O)c3cscn3,Cn1c(-c2cscn2)nc2ccccc21
EN300-12576,188.0,c1ccc2c(c1)ccc(n2)CCC(=O)O,CCc1ccc2ccccc2n1
EN300-12673,162.0,Cc1ccc(cc1)/C=C/S(=O)(=O)N2CCC(CC2)C(=O)O,Cc1ccc(/C=C/S(=O)(=O)N2CCCCC2)cc1
EN300-09816,86.0,CCCOc1c(cc(cc1Cl)C(=O)O)OC,CCCOc1c(Cl)cccc1OC
EN300-49975,188.0,CN1C(=O)c2ccc(cc2S1(=O)=O)C(=O)O,CN1C(=O)c2ccccc2S1(=O)=O
