ID,Price_250mg,BB_SMILES,truncate_SMILES,X,Y,MW
EN300-45236,142.0,c1ccc(cc1)CCOCCCCN,CCCCOCCc1ccccc1,7.8600736,-5.596645,193.28999999999994
EN300-6743430,25.0,c1cc(c(c(c1)F)CN)C(F)(F)F,Cc1c(F)cccc1C(F)(F)F,12.265997,-3.676921,193.14299999999997
EN300-1710157,247.0,CC1(CCC(CC1)O)N,CC1CCC(O)CC1,-1.20184,1.6194263,129.203
EN300-40859,127.0,CN(c1ccccc1)C(=O)CCN,CCC(=O)N(C)c1ccccc1,6.903013,-3.1514356,178.23499999999993
EN300-14637,19.0,COc1ccc(cc1)OCCN,CCOc1ccc(OC)cc1,8.6929035,-5.5550823,167.20799999999994
EN300-55841,39.0,Cc1nccn1c2ccccc2CN,Cc1ccccc1-n1ccnc1C,9.634349,5.1555386,187.24599999999998
EN300-07805,45.0,CC(c1ccccc1OC)N,CCc1ccccc1OC,11.5448,-4.3793573,151.20899999999997
EN300-60091,188.0,c1cc(cc(c1)F)CC(c2cccc(c2)F)N,Fc1cccc(CCc2cccc(F)c2)c1,8.858999,-4.404664,233.261
EN300-21292,88.0,CCCCCC(C)N,CCCCCCC,-1.6142759,-3.0696955,115.22
EN300-37428,103.0,CCN(CC)C(=O)c1ccc(cc1)CN,CCN(CC)C(=O)c1ccc(C)cc1,6.3045855,-1.9930291,206.289
EN300-260988,206.0,CCC(C)CC(CO)N,CC[C@H](C)CCCO,-2.7263877,-3.0747817,131.21899999999997
EN300-133267,188.0,c1ccc(cc1)CCC(CN)O,C[C@H](O)CCc1ccccc1,7.2315836,-4.691649,165.23599999999996
EN300-7376199,83.0,C1CCC(CC1)c2nc(on2)CN,Cc1nc(C2CCCCC2)no1,8.527671,0.39307168,181.239
EN300-2701795,200.0,CC(C)(C)C(CN1CCOCC1)N,CC(C)(C)CCN1CCOCC1,1.3078587,0.8663772,186.29899999999998
EN300-44109,208.0,c1[nH]c(nn1)CN,Cc1nnc[nH]1,9.463457,-0.01398699,98.10900000000001
EN300-70414,142.0,C(CO)CSCCN,CCSCCCO,-1.681602,-3.400223,135.232
EN300-75514,164.0,CCCC(CN)O,CCC[C@H](C)O,-2.6578374,-3.1199756,103.165
EN300-229129,80.0,Cc1cc(n(n1)CCN)C,CCn1nc(C)cc1C,8.7237215,2.0333297,139.20200000000003
EN300-62422,116.0,Cc1c(cccc1Cl)NC(=O)CCN,CCC(=O)Nc1cccc(Cl)c1C,5.8632245,-3.0203981,212.67999999999995
EN300-1600497,102.0,C/C(=C/CN)/O,C/C=C(/C)O,-1.2028062,-3.588542,87.122
EN300-182925,206.0,CC[C@H](C)[C@@H](C(=O)NC)N,CC[C@H](C)CC(=O)NC,-0.4414063,-2.269903,144.21799999999996
EN300-53029,192.0,C[C@H](c1ccc(c(c1)Cl)Cl)N,CCc1ccc(Cl)c(Cl)c1,9.8646555,-4.3623614,190.07299999999998
