ID,Price_250mg,BB_SMILES,truncate_SMILES,X,Y,MW
EN300-63965,19.0,CSCCCN,CCCSC,-1.7568486,-3.3876245,105.20600000000002
EN300-153445,228.0,CC(C)(CCN1CCCCCC1)N,CC(C)CCN1CCCCCC1,1.29846,0.7574198,184.32699999999997
EN300-72737,188.0,c1cc(ccc1CN)CN2CCCCCCC2,Cc1ccc(CN2CCCCCCC2)cc1,6.1555886,0.9538704,232.3709999999999
EN300-41262,142.0,CC(C)N(CCCN)S(=O)(=O)C,CCCN(C(C)C)S(C)(=O)=O,-1.7108417,-2.147869,194.3
EN300-98065,19.0,CC(C)[C@H](CO)N,CC(C)CCO,-2.6392283,-3.1871305,103.165
EN300-41355,78.0,Cc1cccc(c1OCCN)C,CCOc1c(C)cccc1C,11.946406,-4.5791073,165.236
EN300-11614,19.0,Cc1ccccc1CN,Cc1ccccc1C,12.1770115,-3.4851274,121.183
EN300-27145185,136.0,c1cc(nc(c1)N2CCCC2)CN,Cc1cccc(N2CCCC2)n1,8.79498,4.924444,177.25099999999995
EN300-68659,142.0,CCOc1cc(ccc1O)CN,CCOc1cc(C)ccc1O,10.9789715,-4.961468,167.20799999999997
EN300-11961869,206.0,Cc1ccccc1c2ccccc2CN,Cc1ccccc1-c1ccccc1C,11.009932,0.7851233,197.28099999999998
EN300-651603,149.0,CC(c1cc(cc(c1F)Cl)Cl)N,CCc1cc(Cl)cc(Cl)c1F,10.981506,-3.7520869,208.063
EN300-101045,92.0,CCN(CC)CC1CCCCC1N,CCN(CC)CC1CCCCC1,-0.75300527,0.4852206,184.32699999999997
EN300-90141,246.0,C1COCCC1(C(F)(F)F)N,FC(F)(F)C1CCOCC1,-1.4117105,1.3562258,169.146
EN300-260659,66.0,C[C@@H](c1[nH]c2ccccc2n1)N,CCc1nc2ccccc2[nH]1,13.396645,0.46865112,161.20799999999997
EN300-26861263,99.0,C1CC2(CCC1CCN)OCCO2,CCC1CCC2(CC1)OCCO2,-2.3691046,0.7650497,185.26699999999997
EN300-332816,223.0,Cn1c(c(cn1)Br)CN,Cc1c(Br)cnn1C,8.649063,2.272452,190.04399999999995
EN300-152739,163.0,CCN(C)C(=O)CN,CCN(C)C(C)=O,-0.83892065,-2.4849818,116.164
EN300-49894,59.0,CN(C)C(CN)c1ccc(cc1)F,C[C@@H](c1ccc(F)cc1)N(C)C,7.480571,-5.487346,182.242
EN300-37453,73.0,c1ccc2c(c1)ncn2CCCN,CCCn1cnc2ccccc21,12.025397,3.977111,175.23499999999996
EN300-12823,217.0,CCC(CN)c1ccccc1,CC[C@H](C)c1ccccc1,7.0477223,-5.6684766,149.237
EN300-19130874,136.0,c1cc(ccc1CCCN)C(F)(F)F,CCCc1ccc(C(F)(F)F)cc1,7.908345,-4.7889795,203.20699999999994
EN300-386241,71.0,CNC(=O)C1(CCOCC1)N,CNC(=O)C1CCOCC1,-0.071259946,-0.80464196,158.20099999999996
EN300-365506,200.0,C1CCc2c([nH]c(n2)CCCN)C1,CCCc1nc2c([nH]1)CCCC2,5.839299,4.7785234,179.26699999999997
EN300-13707,111.0,c1ccc2c(c1)nc(s2)CCN,CCc1nc2ccccc2s1,13.029336,1.3219616,178.25999999999996
EN300-43453,238.0,CN(C)CCOc1cccc(c1)CN,Cc1cccc(OCCN(C)C)c1,9.618385,-5.7961397,194.27799999999996
EN300-205546,183.0,Cc1cc(ccc1Cl)CCN,CCc1ccc(Cl)c(C)c1,10.076699,-4.3283896,169.65499999999997
EN300-307406,42.0,COc1ccccc1c2cc(on2)CN,COc1ccccc1-c1cc(C)on1,10.905542,1.2421695,204.22899999999996
EN300-20950,19.0,C(COCCO)N,CCOCCO,-1.8089484,-2.946547,105.137
EN300-39672543,142.0,c1c(cncc1Br)OCCN,CCOc1cncc(Br)c1,9.599691,-3.171143,217.06599999999995
EN300-100761,202.0,Cc1ccccc1C(C(C)(C)C)N,Cc1ccccc1CC(C)(C)C,11.254461,-3.1440039,177.29099999999997
