ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-13511,36.0,CC(=O)N1CCC(CC1)N,CC(=O)N1CCCCC1
EN300-11983,100.0,c1ccn2c(c1)nnc2CN,Cc1nnc2ccccn12
EN300-02554,93.0,CC(c1[nH]c2ccccc2n1)N,CCc1nc2ccccc2[nH]1
EN300-34333,142.0,CC(C(c1ccccc1)N2CCOCC2)N,CC[C@@H](c1ccccc1)N1CCOCC1
EN300-10694,70.0,C1C(C=CS1(=O)=O)N,O=S1(=O)C=CCC1
EN300-10016,19.0,CC(c1ccncc1)N,CCc1ccncc1
EN300-34696,69.0,CN(CCN)c1ccccc1,CCN(C)c1ccccc1
EN300-14407,19.0,COCCOCCCN,CCCOCCOC
EN300-23904,162.0,CSCCC(c1nc2ccccc2s1)N,CSCCCc1nc2ccccc2s1
EN300-24003,136.0,CNS(=O)(=O)Cc1ccccc1CN,CNS(=O)(=O)Cc1ccccc1C
EN300-26190,64.0,C1CN(CCC1N)CC(=O)N,NC(=O)CN1CCCCC1
EN300-25480,271.0,c1cc(sc1CN)S(=O)(=O)N2CCCCC2,Cc1ccc(S(=O)(=O)N2CCCCC2)s1
EN300-15268,367.0,C1CCC2CC(CCC2C1)N,C1CCC2CCCCC2C1
EN300-25604,155.0,Cc1csc(n1)CN,Cc1csc(C)n1
EN300-24791,353.0,c1cc2c(cc1Cl)nc(s2)CCN,CCc1nc2cc(Cl)ccc2s1
EN300-29407,19.0,CC(C)(C#N)N,CC(C)C#N
EN300-28553,288.0,CCC(CC)C(CN)N1CCCC1,CCC(CC)[C@H](C)N1CCCC1
EN300-26938,288.0,c1cc(ccc1CN)NC(=O)N,Cc1ccc(NC(N)=O)cc1
EN300-28606,288.0,CCN(CC)C(CC(C)C)CN,CCN(CC)[C@@H](C)CC(C)C
EN300-29441,288.0,c1cnc(nc1)N2CCN(CC2)CCCN,CCCN1CCN(c2ncccn2)CC1
EN300-29221,92.0,c1cc(ccc1C(=O)NCCN)Cl,CCNC(=O)c1ccc(Cl)cc1
EN300-30377,94.0,CC(C)CN1CCC(CC1)N,CC(C)CN1CCCCC1
EN300-27262,288.0,Cc1nc(no1)C2(CCCC2)N,Cc1nc(C2CCCC2)no1
EN300-24432,288.0,c1cc(cc(c1)NC(=O)C2CC2)CN,Cc1cccc(NC(=O)C2CC2)c1
EN300-40800,195.0,c1c2c([nH]n1)CCC(C2)N,c1n[nH]c2c1CCCC2
EN300-09713,142.0,c1cc(c(cc1[N+](=O)[O-])CN)O,Cc1cc([N+](=O)[O-])ccc1O
EN300-08665,37.0,C1CCC(CC1)(C#N)N,N#CC1CCCCC1
EN300-03932,234.0,c1cc(ccc1C(CN)O)[N+](=O)[O-],C[C@H](O)c1ccc([N+](=O)[O-])cc1
EN300-11242,237.0,COc1cccc(c1)C(CN)N2CCCC2,COc1cccc([C@H](C)N2CCCC2)c1
EN300-09768,19.0,CC(c1ccccc1Cl)N,CCc1ccccc1Cl
EN300-16223,19.0,c1ccc(cc1)OCCN,CCOc1ccccc1
EN300-09208,552.0,CC(c1ccc(cc1)n2ccnc2)N,CCc1ccc(-n2ccnc2)cc1
EN300-13155,19.0,CC(C)N1CCC(CC1)N,CC(C)N1CCCCC1
EN300-07804,64.0,CCOc1ccc(cc1OCC)C(C)N,CCOc1ccc(CC)cc1OCC
EN300-07805,45.0,CC(c1ccccc1OC)N,CCc1ccccc1OC
EN300-06366,194.0,c1ccc(cc1)C(CN)c2c[nH]c3c2cccc3,C[C@H](c1ccccc1)c1c[nH]c2ccccc12
EN300-07197,153.0,COc1ccc(cc1)C(CN)N2CCOCC2,COc1ccc([C@H](C)N2CCOCC2)cc1
EN300-51839,142.0,CCCCOCCN,CCCCOCC
EN300-50667,367.0,c1cc(ccc1CN)N2CCCC(C2)C(=O)N,Cc1ccc(N2CCC[C@H](C(N)=O)C2)cc1
EN300-50244,58.0,C1CN(CCC1O)CCCN,CCCN1CCC(O)CC1
EN300-51090,276.0,CN(C)CC(Cc1ccccc1)N,CN(C)CCCc1ccccc1
EN300-21249,19.0,CC(C)(C)CC(C)(C)N,CC(C)CC(C)(C)C
EN300-51203,136.0,Cc1ccc(cc1)C(=O)NCCN,CCNC(=O)c1ccc(C)cc1
EN300-19392,19.0,C(CO)N,CCO
EN300-20378,19.0,CCOC(CN)OCC,CCOC(C)OCC
EN300-20439,19.0,c1ccnc(c1)CCN,CCc1ccccn1
EN300-50040,200.0,CCNC(=O)COc1cccc(c1)CN,CCNC(=O)COc1cccc(C)c1
EN300-51986,21.0,COc1ccc(cc1)CCCN,CCCc1ccc(OC)cc1
EN300-50320,142.0,c1cc(cc(c1)NC(=O)c2ccc(cc2)F)CN,Cc1cccc(NC(=O)c2ccc(F)cc2)c1
EN300-33973,19.0,C1CC(CCC1N)O,OC1CCCCC1
EN300-26953,20.0,C(C(=O)N)(C(=O)N)N,NC(=O)CC(N)=O
EN300-13380,105.0,Cc1ccc(cc1)SCCN,CCSc1ccc(C)cc1
EN300-50318,431.0,c1ccc(cc1)C2C(CCCO2)CN,CC1CCCOC1c1ccccc1
EN300-34032,19.0,Cc1ccc(cc1)C(C)N,CCc1ccc(C)cc1
EN300-34041,19.0,CCC(c1ccccc1)N,CCCc1ccccc1
EN300-52658,30.0,c1ccc(c(c1)CN)n2cccn2,Cc1ccccc1-n1cccn1
