ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-6473482,1008.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC4(CC4(F)F)C(=O)O,C[C@@H]1CC1(F)F
EN300-657616,1008.0,Cn1cc(c(n1)CNC(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,Cc1ccn(C)n1
EN300-1720354,1008.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCc4cc(cc(c4)O)C(=O)O,Cc1cccc(O)c1
EN300-1720374,1008.0,c1ccc(c(c1)CCC(=O)O)CNC(=O)OCC2c3ccccc3-c4c2cccc4,CCc1ccccc1C
EN300-1538124,1008.0,CC(CC(=O)O)(CNC(=O)CNC(=O)OCC1c2ccccc2-c3c1cccc3)O,CC(=O)NCC(C)(C)O
EN300-1720373,1008.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4Cc5cccc(c5OC4)C(=O)O,c1ccc2c(c1)CCCO2
EN300-6474071,1008.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC45CC(C4)(C6(O5)CCC6)C(=O)O,CC12CC(C1)C1(CCC1)O2
EN300-1720344,1008.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCc4cccc5c4ccc(c5)C(=O)O,Cc1cccc2ccccc12
EN300-1720339,1008.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCc4cccc5c4cccc5C(=O)O,Cc1cccc2ccccc12
EN300-6492682,1008.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4ccc5c(c4)cccn5)C(=O)O,CCc1ccc2ncccc2c1
EN300-6496436,1008.0,Cc1ccc2cc(ccc2n1)C[C@H](C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CCc1ccc2nc(C)ccc2c1
EN300-7443163,1015.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H]4CCOC[C@H]4C(=O)O,C1CCOCC1
EN300-27127246,1015.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H]4CC[C@@]5([C@H]4CC5)C(=O)O,C1C[C@@H]2CC[C@H]2C1
