ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-624013,19.0,CN(CC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CNC
EN300-624009,498.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@H]4C(=O)O,C1CNC1
EN300-624025,19.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)C(=O)O,C1CNC1
EN300-128258,19.0,CN(CCC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CCNC
EN300-1556594,19.0,C[C@H](C(=O)O)N(C)C(=O)OCC1c2ccccc2-c3c1cccc3,CCNC
EN300-81086,26.0,C[C@@H](C(=O)O)N(C)C(=O)OCC1c2ccccc2-c3c1cccc3,CCNC
EN300-81228,189.0,CCN(CC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CCNC
EN300-657418,270.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC=C[C@H]4C(=O)O,C1=CCNC1
EN300-37380678,538.0,CN(CC#CC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,C#CCNC
EN300-657419,862.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(=CC(=O)O)C4,C=C1CNC1
EN300-1556634,658.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N(CC#N)CC(=O)O,CNCC#N
EN300-1720633,862.0,C[C@]1(CCN1C(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,C[C@@H]1CCN1
EN300-81320,438.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC[C@@H]4C(=O)O,C1CCNC1
EN300-81243,19.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC[C@H]4C(=O)O,C1CCNC1
EN300-2009984,743.0,CC1CC(N1C(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,C[C@H]1CCN1
EN300-657427,153.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@@H](C4)C(=O)O,C1CCNC1
EN300-657426,193.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)CC(=O)O,CC1CNC1
EN300-657423,601.0,CC1(CN(C1)C(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,CC1CNC1
EN300-81266,1196.0,C=CCN(CC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,C=CCNC
EN300-763891,180.0,CN(C(=O)OCC1c2ccccc2-c3c1cccc3)C4(CC4)C(=O)O,CNC1CC1
EN300-81167,213.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N(CC(=O)O)C4CC4,CNC1CC1
EN300-303363,586.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)(C(=O)O)O,OC1CNC1
EN300-155420,55.0,CN(CCCC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CCCNC
EN300-22847242,735.0,C[C@@H](CC(=O)O)N(C)C(=O)OCC1c2ccccc2-c3c1cccc3,CNC(C)C
EN300-1653218,244.0,C[C@H](CC(=O)O)N(C)C(=O)OCC1c2ccccc2-c3c1cccc3,CNC(C)C
EN300-81294,204.0,CC[C@@H](C(=O)O)N(C)C(=O)OCC1c2ccccc2-c3c1cccc3,CCCNC
EN300-81227,124.0,CCCN(CC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CCCNC
EN300-1556279,293.0,CCN(CCC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CCNCC
EN300-81338,601.0,C[C@@H](CN(C)C(=O)OCC1c2ccccc2-c3c1cccc3)C(=O)O,CCCNC
EN300-814205,629.0,CCN([C@@H](C)C(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CCNCC
EN300-81125,50.0,CC(C)N(CC(=O)O)C(=O)OCC1c2ccccc2-c3c1cccc3,CNC(C)C
EN300-262771,84.0,CC(C)(C(=O)O)N(C)C(=O)OCC1c2ccccc2-c3c1cccc3,CNC(C)C
EN300-657428,538.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)(C(=O)O)F,FC1CNC1
EN300-81324,1964.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N(CCO)CC(=O)O,CNCCO
EN300-657429,735.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)C#CC(=O)O,C#CC1CNC1
EN300-27726171,607.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C4)(C#N)C(=O)O,N#CC1CNC1
EN300-814222,666.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC(=CC4)C(=O)O,C1=CCNCC1
EN300-657437,779.0,CC(=C1CN(C1)C(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,CC=C1CNC1
EN300-657430,672.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC5(C4)C[C@@H]5C(=O)O,C1CC12CNC2
EN300-755408,650.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4C[C@H]5C[C@@]5(C4)C(=O)O,C1NC[C@@H]2C[C@H]12
EN300-6740483,785.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC=C[C@H](C4)C(=O)O,C1=CCNCC1
EN300-27113726,785.0,C[C@]1(C=CCN1C(=O)OCC2c3ccccc3-c4c2cccc4)C(=O)O,C[C@@H]1C=CCN1
EN300-37450492,977.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@H]5[C@@]4(C5)C(=O)O,C1C[C@@H]2C[C@H]2N1
EN300-814192,1702.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4C[C@@H]5C[C@@H]5[C@H]4C(=O)O,C1NC[C@@H]2C[C@H]12
EN300-657443,813.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4[C@@H]5C[C@@H]5C[C@H]4C(=O)O,C1C[C@H]2C[C@H]2N1
EN300-657446,666.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC5CC4(C5)C(=O)O,C1NC2CC1C2
EN300-26674243,714.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4C[C@@H]5C[C@@]5(C4)C(=O)O,C1NC[C@@H]2C[C@@H]12
EN300-26678474,672.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4C[C@H]5C[C@]5(C4)C(=O)O,C1NC[C@H]2C[C@H]12
EN300-7435156,1082.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCC=C[C@H]4C(=O)O,C1=CCNCC1
EN300-657442,813.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4[C@H]5C[C@H]5C[C@H]4C(=O)O,C1C[C@@H]2C[C@@H]2N1
EN300-657445,623.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4C[C@@H]5[C@H](C4)[C@H]5C(=O)O,C1NC[C@@H]2C[C@H]12
EN300-657444,891.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC(C5C4C5)C(=O)O,C1CC2CC2N1
