truncate_SMILES,X,Y
CCc1nc(CC(F)(F)F)cs1,8.574216,-1.0278511
C1CCCOCC1,-0.3816518,2.0065684
c1ccc2c(c1)CC1(CCCCC1)C2,4.358128,4.8747835
C=Cc1ccc(OC)c(COc2ccc(Br)cc2)c1,10.938148,-5.717685
CC1CCC12CCCO2,-2.9821148,1.0509795
COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1,3.0832117,4.212215
CCNC(=O)C1CCCCC1,0.007808474,-1.0577067
Cc1ccnn1-c1ccc(Cl)c(Cl)c1,10.530269,5.504432
Cn1ccc([N+](=O)[O-])c1,8.296563,2.4112165
CCCCC(=O)N(C)Cc1ccccc1F,11.267692,-3.188009
COc1cccc2cnn(C)c12,12.93208,-1.4159789
CC1(C)CCCC(=O)N1,1.5197198,3.5693955
Brc1cccc(C2CCCCC2)c1,5.128563,2.93187
Cc1cc(OCn2cccn2)cc(C)c1Cl,11.884828,-6.3412867
CN(C)S(=O)(=O)c1ccc(Cl)c(C(=O)N2CCCC2)c1,5.0732183,-1.3585124
O=[N+]([O-])c1ccccc1-c1ccco1,11.162536,0.5560345
CCOc1cccc(Cl)n1,10.496801,-1.3912238
CO[C@@H]1C[C@H]2CC[C@H]1C2,-2.0255451,2.7529685
Fc1ccc(F)c(C2CC2)c1,4.5937514,3.520743
Cc1ccccc1C1=NOCC1,10.123059,1.4378134
C/C=C/CC,-1.5031759,-3.6784847
CCc1ccc[nH]1,9.792435,-0.37229204
C[C@H](CO)Cc1cccc(Br)c1,8.858169,-4.486585
CC(C)Oc1ccccc1C(F)F,11.89196,-4.724171
CSC1CC(C)C1,-1.1592995,1.5624721
N#Cc1ccc(Sc2ccccc2)cc1,8.108494,-3.665947
FC1(F)CC[C@@H]2C[C@@H]21,-2.6439147,1.3435972
COCCOc1cccc(Br)c1,9.6501255,-5.572713
Clc1cccc(I)c1Cl,12.166166,-3.5069692
CCc1nc2c(C#Cc3cccnc3)cccc2[nH]1,13.543304,0.28770846
Cc1cc(C)c(S(=O)(=O)N2CCCC2)c(C)c1,3.472863,-2.8810184
COc1ccccc1Cn1nc(C)c(Cl)c1C,7.1772385,1.2291181
O=S(=O)(NCCc1cccs1)c1ccccc1,4.409011,-3.6817863
CC(C)(C)CS(C)(=O)=O,-1.6178179,-2.053892
CCc1nc2ccccc2n1CCc1ccccc1,12.648474,4.1746564
CC(C)c1ncc(Sc2ccccc2)cn1,8.17918,-3.717708
CCc1ccoc1CC,7.4366546,-1.2280306
CO[C@@H]1C[C@H]2CC[C@@H]1C2,-2.0006452,2.7186735
CC[C@@H](C(=O)OC(C)(C)C)N(C)C,-0.526969,-2.690488
CCC(=O)Nc1cccc(C)n1,5.9703574,-2.7574522
C[C@H]1COc2c(O)cccc21,4.2700195,4.98185
c1ccc(OCn2cccn2)cc1,11.888279,-6.3549247
CCc1cccc2cccnc12,12.593648,-0.9322696
Cc1cncn1C(C)C,8.566325,2.9602823
O=[N+]([O-])c1cccc(-c2ccn(-c3ccccc3)n2)c1,10.494223,4.3376565
CC1(c2ccccc2)CCCCC1,3.3068361,2.5402427
CCc1nncn1-c1ccccc1,9.8737135,4.686517
CCCOc1cccc(OCCCOC)c1,9.647164,-5.746831
CC[C@H](O)c1cc(F)cc(Cl)c1,9.494767,-4.383446
COc1ccc(/C=C\C#N)cc1OC,10.366815,-5.3237514
C[C@@H]1C=C[C@H]2C[C@@H]1CO2,-1.515483,2.4360676
CN(C)S(=O)(=O)c1cccc([N+](=O)[O-])c1,4.4034505,-3.7995741
CNC(=O)Nc1ccc(C)cc1,5.54097,-2.9796426
Cc1ccc(C#N)n1C,8.507249,2.6833913
CC1(C)CC=C(C(C)(C)C)CC1,0.55224544,2.4750881
Cc1ccccc1NS(=O)(=O)c1ccccc1Cl,3.5726125,-4.3420296
CC1CCN(S(C)(=O)=O)CC1,0.8227766,0.3954582
CC(C)c1ncnn1-c1ccccc1Cl,10.490288,5.5118203
CCc1cc2ccccc2[nH]c1=O,14.1423235,-1.1148086
FC(F)(F)Oc1ccc(N2CCCCC2)cc1,8.385982,5.7892003
Ic1ccn[nH]1,9.666464,-0.42245874
FC(F)(F)c1ccc2ccncc2c1,12.962972,-1.2499398
[N-]=[N+]=NC1CCN(C=O)CC1,-0.6602019,2.4538524
COc1ccc(-c2ccc3ccccc3n2)cc1,12.585888,0.74337614
CCCn1ccc2cc(Cl)ccc21,11.724407,3.6150854
C[C@@]12CC[C@H](CO1)C2,-3.6869197,1.0741946
Cc1c(Br)cnn1C(C)C,8.443743,2.3526154
O=C(NC1CC1)N1CCCCC1,2.104184,-0.26108888
Cc1noc(Cn2cccn2)n1,7.2598996,1.2680033
CCCn1c(C)cc2ccccc21,11.904268,3.6066222
Cc1cnc(C(F)(F)F)cc1C,10.335778,-2.007629
CC1(CO)CCCC1,-3.101184,-0.39032525
CCc1nc2cc(OC)c(OC)cc2n1CCOC,12.751378,4.3657007
CC(F)=C1CCC1,0.56924415,2.793652
C[C@@H](c1c(F)cccc1Cl)N1CCCC1,12.477962,-3.7895203
CN(C)CC(C)(C)O,-2.0823739,-3.857343
CC(C)c1csc(-c2c(Cl)cccc2Cl)n1,11.497844,0.8800401
C[S@](=O)c1ccccc1,7.383944,-4.768383
CCCS(=O)(=O)C(F)F,-1.5447754,-1.9973032
C[C@H](O)c1ccc(O)c([N+](=O)[O-])c1,12.270214,-4.991782
CO/N=C(\C)c1ccc(Br)s1,6.883011,-1.9428238
O=C(c1ccccc1)N1CCCCC1,4.6552715,-1.0015149
Cn1c(=O)cnc2ccccc21,12.339615,4.0435762
CCc1nccc(O)n1,9.953464,-1.2668035
C[C@H](NC(=O)c1ccccc1)c1ccccc1,6.715621,-5.1708
CCCCSC,-1.5964328,-3.2120733
